Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name,price
80738,Smart TVs starting form Rs 12999,Flipkart,Electronics,,,,https://linksredirect.com/?pub_id=41826&url=https://www.flipkart.com/televisions/~cs-8h84xg3uqy/pr?sid=ckf%2Cczl&collection-tab-name=Just+Launched+TVs&p%5B%5D=facets.smart_tv%255B%255D%3DYes&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&otracker=clp_creative_card_1_11.creativeCard.CREATIVE_CARD_monsoon-appliance-dhamaka-sale-store_1EPK5GL8TMMZ&fm=neo%2Fmerchandising&iid=M_1d9565d8-c040-4bee-a827-0a278e8be00b_11.1EPK5GL8TMMZ&ssid=up8x5ls6uo0000001594903952232,live,2020-07-17,2020-07-19,17/07/2020,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772,1,Flipkart,
80739,Haier 4 Star Refrigerators starting from Rs 12490,Flipkart,Electronics,,,,https://linksredirect.com/?pub_id=41826&url=https://www.flipkart.com/refrigerators/~cs-ed6gzmfop6/pr?sid=j9e%2Cabm%2Chzg&collection-tab-name=Haier%204%20star%20Refrigerators&otracker=clp_banner_1_33.bannerX3.BANNER_monsoon-appliance-dhamaka-sale-store_PAQ83Q87GFUX&fm=neo%2Fmerchandising&iid=M_56d1721f-b64b-4c27-b3de-9441f549a440_33.PAQ83Q87GFUX&ppt=clp&ppn=monsoon-appliance-dhamaka-sale-store&ssid=er3fq4w4og0000001594904337159,live,2020-07-17,2020-07-19,17/07/2020,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772,1,Flipkart,
80740,Flat70% OFF on Appliances,Flipkart,Electronics,,,,https://linksredirect.com/?pub_id=41826&url=https://www.flipkart.com/offers-list/flat70offonappliances?screen=dynamic&pk=themeViews%3DLarge-Fest19-Flat70%3AAppOMU%2CLarge-Fest19-Flat70%3ADTOMU~widgetType%3DdealCard~contentType%3Dneo&wid=2.dealCard.OMU&otracker=clp_banner_3_40.bannerX3.BANNER_monsoon-appliance-dhamaka-sale-store_KHPWQPED3XAE&fm=neo%2Fmerchandising&iid=M_8510e0f9-468d-4b92-a2a1-af1e775c8137_40.KHPWQPED3XAE&ppt=clp&ppn=monsoon-appliance-dhamaka-sale-store&ssid=kkxf7648g00000001594904362340,live,2020-07-17,2020-07-19,17/07/2020,https://cdn0.cuelinks.com/campaigns/1/original/Flipkart_logo.jpg?1433139772,1,Flipkart,
80741,Win INR 10 to INR 100 Cashback on min order of INR 99 via Amazon Pay,Dominos,Food & Grocery,,,,https://linksredirect.com/?pub_id=41826&url=https://www.dominos.co.in/,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/39/original/Dominos.png?1489137591,39,Dominos,
80742,Get 50% SuperCash Upto INR 75 on orders via MobiKwik,Dominos,Food & Grocery,,,,https://linksredirect.com/?pub_id=41826&url=https://www.dominos.co.in/,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/39/original/Dominos.png?1489137591,39,Dominos,
80743,Get Upto 40% OFF on selected styles,Fossil,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.fossil.com/en-in/promotions/flash-sale/,live,2020-07-17,2020-07-26,17/07/2020,https://cdn0.cuelinks.com/campaigns/3880/original/Fossil.png?1567762651,3880,Fossil,
80744,Get Upto 30% OFF on MID-YEAR SALE,Fossil,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.fossil.com/en-in/sale/womens-sale/,live,2020-07-17,2020-07-31,17/07/2020,https://cdn0.cuelinks.com/campaigns/3880/original/Fossil.png?1567762651,3880,Fossil,
80745,Get 10% instant discount Min purchase: Rs.3000 Max Discount: Rs.1500 Valid on Citi Credit and Debit Card,Tata Cliq,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.tatacliq.com/cliqathon-sale-prebuzz?&icid2=cliq:cbc:main:hmp:m01:mulb:best:01:R38:blp:Bx:001,live,2020-07-17,2020-07-20,17/07/2020,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199,2588,Tata Cliq,
80746,Get 10% instant discount Min purchase: Rs.5000 Max Discount: Rs.1500 Valid on Citi Credit and Debit Card,Tata Cliq,Fashion,,,,https://linksredirect.com/?pub_id=41826&url=https://www.tatacliq.com/cliqathon-sale-prebuzz?&icid2=cliq:cbc:main:hmp:m01:mulb:best:01:R38:blp:Bx:001,live,2020-07-17,2020-07-30,17/07/2020,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199,2588,Tata Cliq,
80747,Flat Rs.2000 Discount by Using HDFC Credit Card| Minimum Purchase: Rs.25000,Tata Cliq,Fashion,,,HDFC2000,https://linksredirect.com/?pub_id=41826&url=https://www.tatacliq.com/,live,2020-07-17,2020-07-17,17/07/2020,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199,2588,Tata Cliq,
80748,Get Extra 10% OFF on End of Season SLAY,FabAlley,Fashion,,,EXTRA10,https://linksredirect.com/?pub_id=41826&url=https://www.faballey.com/sale/end-of-season-sale/cat?depth=1&label=SALE,live,2020-07-17,2020-07-20,17/07/2020,https://cdn0.cuelinks.com/campaigns/1883/original/FabAlley.png?1489139154,1883,FabAlley,
80749,Enjoy Wardrobe Must-Haves under INR 799 Only,FabAlley,Fashion,,,,"https://linksredirect.com/?pub_id=41826&url=https://www.faballey.com/clothing/under-799/cat?intcmp=hp,1,1,,banner",live,2020-07-17,2020-07-20,17/07/2020,https://cdn0.cuelinks.com/campaigns/1883/original/FabAlley.png?1489139154,1883,FabAlley,
